 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 02, 2023 
 ==================================================================

 Disk File Name = Target-238-92_Ion-64-31.txt

 Ion = Gallium      [31] , Mass = 64 amu

 Density =  1.9043E+01 g/cm3 = 4.8184E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      U     92    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Gallium      [31] , Mass = 64 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   9.146E+01  9.943E+02      41 A        47 A        36 A   
  11.00 keV   9.593E+01  1.027E+03      43 A        50 A        38 A   
  12.00 keV   1.002E+02  1.057E+03      46 A        52 A        40 A   
  13.00 keV   1.043E+02  1.084E+03      48 A        55 A        42 A   
  14.00 keV   1.082E+02  1.110E+03      50 A        57 A        44 A   
  15.00 keV   1.120E+02  1.134E+03      53 A        60 A        46 A   
  16.00 keV   1.157E+02  1.157E+03      55 A        62 A        47 A   
  17.00 keV   1.193E+02  1.178E+03      57 A        64 A        49 A   
  18.00 keV   1.227E+02  1.197E+03      60 A        66 A        51 A   
  20.00 keV   1.293E+02  1.234E+03      64 A        71 A        54 A   
  22.50 keV   1.372E+02  1.274E+03      70 A        76 A        58 A   
  25.00 keV   1.446E+02  1.310E+03      75 A        81 A        62 A   
  27.50 keV   1.517E+02  1.341E+03      80 A        86 A        66 A   
  30.00 keV   1.584E+02  1.370E+03      86 A        91 A        70 A   
  32.50 keV   1.649E+02  1.396E+03      91 A        95 A        74 A   
  35.00 keV   1.711E+02  1.419E+03      96 A       100 A        77 A   
  37.50 keV   1.771E+02  1.441E+03     101 A       105 A        81 A   
  40.00 keV   1.829E+02  1.460E+03     106 A       109 A        84 A   
  45.00 keV   1.940E+02  1.495E+03     116 A       118 A        91 A   
