 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 02, 2023 
 ==================================================================

 Disk File Name = Target-238-92_Ion-65-35.txt

 Ion = Bromine      [35] , Mass = 65 amu

 Density =  1.9043E+01 g/cm3 = 4.8184E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      U     92    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Bromine      [35] , Mass = 65 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   8.631E+01  1.070E+03      38 A        45 A        34 A   
  11.00 keV   9.052E+01  1.106E+03      41 A        48 A        36 A   
  12.00 keV   9.455E+01  1.140E+03      43 A        50 A        38 A   
  13.00 keV   9.841E+01  1.171E+03      45 A        52 A        40 A   
  14.00 keV   1.021E+02  1.200E+03      48 A        54 A        42 A   
  15.00 keV   1.057E+02  1.227E+03      50 A        57 A        43 A   
  16.00 keV   1.092E+02  1.252E+03      52 A        59 A        45 A   
  17.00 keV   1.125E+02  1.276E+03      54 A        61 A        47 A   
  18.00 keV   1.158E+02  1.298E+03      56 A        63 A        48 A   
  20.00 keV   1.221E+02  1.339E+03      60 A        67 A        51 A   
  22.50 keV   1.295E+02  1.385E+03      65 A        72 A        55 A   
  25.00 keV   1.365E+02  1.426E+03      70 A        76 A        59 A   
  27.50 keV   1.431E+02  1.463E+03      75 A        81 A        62 A   
  30.00 keV   1.495E+02  1.496E+03      80 A        85 A        66 A   
  32.50 keV   1.556E+02  1.525E+03      85 A        90 A        69 A   
  35.00 keV   1.615E+02  1.553E+03      89 A        94 A        73 A   
  37.50 keV   1.671E+02  1.578E+03      94 A        98 A        76 A   
  40.00 keV   1.726E+02  1.601E+03      98 A       102 A        79 A   
  45.00 keV   1.831E+02  1.642E+03     107 A       111 A        86 A   
