 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 02, 2023 
 ==================================================================

 Disk File Name = Target-238-92_Ion-68-25.txt

 Ion = Manganese    [25] , Mass = 68 amu

 Density =  1.9043E+01 g/cm3 = 4.8184E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      U     92    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Manganese    [25] , Mass = 68 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   7.424E+01  9.252E+02      46 A        51 A        39 A   
  11.00 keV   7.786E+01  9.537E+02      48 A        54 A        41 A   
  12.00 keV   8.132E+01  9.798E+02      51 A        56 A        43 A   
  13.00 keV   8.465E+01  1.004E+03      54 A        59 A        45 A   
  14.00 keV   8.784E+01  1.026E+03      57 A        62 A        48 A   
  15.00 keV   9.092E+01  1.047E+03      60 A        64 A        50 A   
  16.00 keV   9.391E+01  1.066E+03      62 A        67 A        52 A   
  17.00 keV   9.680E+01  1.084E+03      65 A        69 A        53 A   
  18.00 keV   9.960E+01  1.101E+03      68 A        72 A        55 A   
  20.00 keV   1.050E+02  1.131E+03      73 A        77 A        59 A   
  22.50 keV   1.114E+02  1.165E+03      79 A        82 A        64 A   
  25.00 keV   1.174E+02  1.195E+03      86 A        88 A        68 A   
  27.50 keV   1.231E+02  1.221E+03      92 A        94 A        73 A   
  30.00 keV   1.286E+02  1.245E+03      98 A        99 A        77 A   
  32.50 keV   1.338E+02  1.266E+03     104 A       105 A        81 A   
  35.00 keV   1.389E+02  1.285E+03     110 A       110 A        85 A   
  37.50 keV   1.438E+02  1.302E+03     116 A       115 A        89 A   
  40.00 keV   1.485E+02  1.317E+03     122 A       120 A        93 A   
  45.00 keV   1.575E+02  1.345E+03     134 A       130 A       101 A   
