 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 02, 2023 
 ==================================================================

 Disk File Name = Target-238-92_Ion-68-27.txt

 Ion = Cobalt       [27] , Mass = 68 amu

 Density =  1.9043E+01 g/cm3 = 4.8184E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      U     92    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Cobalt       [27] , Mass = 68 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   7.028E+01  9.647E+02      44 A        49 A        38 A   
  11.00 keV   7.371E+01  9.952E+02      47 A        52 A        40 A   
  12.00 keV   7.699E+01  1.023E+03      49 A        55 A        42 A   
  13.00 keV   8.013E+01  1.049E+03      52 A        57 A        44 A   
  14.00 keV   8.316E+01  1.073E+03      55 A        60 A        46 A   
  15.00 keV   8.608E+01  1.095E+03      57 A        62 A        48 A   
  16.00 keV   8.890E+01  1.115E+03      60 A        65 A        50 A   
  17.00 keV   9.163E+01  1.135E+03      62 A        67 A        52 A   
  18.00 keV   9.429E+01  1.153E+03      65 A        70 A        54 A   
  20.00 keV   9.939E+01  1.186E+03      70 A        74 A        57 A   
  22.50 keV   1.054E+02  1.223E+03      76 A        80 A        62 A   
  25.00 keV   1.111E+02  1.255E+03      82 A        85 A        66 A   
  27.50 keV   1.165E+02  1.284E+03      88 A        91 A        70 A   
  30.00 keV   1.217E+02  1.310E+03      94 A        96 A        74 A   
  32.50 keV   1.267E+02  1.333E+03      99 A       101 A        78 A   
  35.00 keV   1.315E+02  1.354E+03     105 A       106 A        82 A   
  37.50 keV   1.361E+02  1.373E+03     111 A       111 A        86 A   
  40.00 keV   1.406E+02  1.390E+03     116 A       116 A        90 A   
  45.00 keV   1.491E+02  1.420E+03     127 A       125 A        97 A   
