 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 02, 2023 
 ==================================================================

 Disk File Name = Target-238-92_Ion-69-26.txt

 Ion = Iron         [26] , Mass = 69 amu

 Density =  1.9043E+01 g/cm3 = 4.8184E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      U     92    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Iron         [26] , Mass = 69 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   7.904E+01  9.550E+02      45 A        50 A        38 A   
  11.00 keV   8.289E+01  9.848E+02      47 A        52 A        40 A   
  12.00 keV   8.658E+01  1.012E+03      50 A        55 A        42 A   
  13.00 keV   9.012E+01  1.037E+03      53 A        58 A        44 A   
  14.00 keV   9.352E+01  1.061E+03      56 A        60 A        46 A   
  15.00 keV   9.680E+01  1.082E+03      58 A        63 A        48 A   
  16.00 keV   9.998E+01  1.102E+03      61 A        65 A        50 A   
  17.00 keV   1.031E+02  1.121E+03      64 A        67 A        52 A   
  18.00 keV   1.060E+02  1.139E+03      66 A        70 A        54 A   
  20.00 keV   1.118E+02  1.171E+03      71 A        74 A        58 A   
  22.50 keV   1.186E+02  1.207E+03      77 A        80 A        62 A   
  25.00 keV   1.250E+02  1.238E+03      83 A        86 A        66 A   
  27.50 keV   1.311E+02  1.266E+03      90 A        91 A        70 A   
  30.00 keV   1.369E+02  1.291E+03      95 A        96 A        75 A   
  32.50 keV   1.425E+02  1.314E+03     101 A       101 A        79 A   
  35.00 keV   1.479E+02  1.334E+03     107 A       106 A        83 A   
  37.50 keV   1.531E+02  1.352E+03     113 A       111 A        86 A   
  40.00 keV   1.581E+02  1.369E+03     119 A       116 A        90 A   
  45.00 keV   1.677E+02  1.398E+03     130 A       126 A        98 A   
