 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 02, 2023 
 ==================================================================

 Disk File Name = Target-238-92_Ion-72-30.txt

 Ion = Zinc         [30] , Mass = 72 amu

 Density =  1.9043E+01 g/cm3 = 4.8184E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      U     92    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Zinc         [30] , Mass = 72 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   8.691E+01  1.062E+03      42 A        46 A        35 A   
  11.00 keV   9.115E+01  1.096E+03      44 A        48 A        37 A   
  12.00 keV   9.520E+01  1.128E+03      47 A        51 A        39 A   
  13.00 keV   9.909E+01  1.158E+03      49 A        53 A        41 A   
  14.00 keV   1.028E+02  1.185E+03      52 A        55 A        43 A   
  15.00 keV   1.064E+02  1.211E+03      54 A        58 A        44 A   
  16.00 keV   1.099E+02  1.234E+03      56 A        60 A        46 A   
  17.00 keV   1.133E+02  1.257E+03      59 A        62 A        48 A   
  18.00 keV   1.166E+02  1.278E+03      61 A        64 A        49 A   
  20.00 keV   1.229E+02  1.316E+03      66 A        68 A        53 A   
  22.50 keV   1.304E+02  1.359E+03      71 A        73 A        57 A   
  25.00 keV   1.374E+02  1.397E+03      77 A        78 A        60 A   
  27.50 keV   1.441E+02  1.431E+03      82 A        83 A        64 A   
  30.00 keV   1.505E+02  1.461E+03      87 A        87 A        68 A   
  32.50 keV   1.567E+02  1.489E+03      93 A        92 A        71 A   
  35.00 keV   1.626E+02  1.514E+03      98 A        97 A        75 A   
  37.50 keV   1.683E+02  1.536E+03     103 A       101 A        78 A   
  40.00 keV   1.738E+02  1.557E+03     108 A       105 A        82 A   
  45.00 keV   1.844E+02  1.594E+03     118 A       114 A        89 A   
