 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 02, 2023 
 ==================================================================

 Disk File Name = Target-238-92_Ion-72-32.txt

 Ion = Germanium    [32] , Mass = 72 amu

 Density =  1.9043E+01 g/cm3 = 4.8184E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      U     92    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Germanium    [32] , Mass = 72 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   7.226E+01  1.098E+03      40 A        45 A        35 A   
  11.00 keV   7.579E+01  1.134E+03      43 A        48 A        36 A   
  12.00 keV   7.916E+01  1.168E+03      45 A        50 A        38 A   
  13.00 keV   8.239E+01  1.199E+03      48 A        52 A        40 A   
  14.00 keV   8.550E+01  1.228E+03      50 A        54 A        42 A   
  15.00 keV   8.850E+01  1.255E+03      52 A        57 A        44 A   
  16.00 keV   9.140E+01  1.280E+03      55 A        59 A        45 A   
  17.00 keV   9.422E+01  1.304E+03      57 A        61 A        47 A   
  18.00 keV   9.695E+01  1.326E+03      59 A        63 A        49 A   
  20.00 keV   1.022E+02  1.367E+03      64 A        67 A        52 A   
  22.50 keV   1.084E+02  1.413E+03      69 A        72 A        56 A   
  25.00 keV   1.143E+02  1.454E+03      74 A        77 A        59 A   
  27.50 keV   1.198E+02  1.490E+03      79 A        81 A        63 A   
  30.00 keV   1.252E+02  1.522E+03      85 A        86 A        66 A   
  32.50 keV   1.303E+02  1.552E+03      90 A        90 A        70 A   
  35.00 keV   1.352E+02  1.579E+03      95 A        95 A        73 A   
  37.50 keV   1.399E+02  1.603E+03     100 A        99 A        77 A   
  40.00 keV   1.445E+02  1.626E+03     104 A       103 A        80 A   
  45.00 keV   1.533E+02  1.666E+03     114 A       111 A        87 A   
