 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 02, 2023 
 ==================================================================

 Disk File Name = Target-238-92_Ion-73-28.txt

 Ion = Nickel       [28] , Mass = 73 amu

 Density =  1.9043E+01 g/cm3 = 4.8184E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      U     92    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Nickel       [28] , Mass = 73 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.631E+01  1.033E+03      43 A        48 A        37 A   
  11.00 keV   4.857E+01  1.067E+03      46 A        51 A        39 A   
  12.00 keV   5.073E+01  1.097E+03      49 A        53 A        41 A   
  13.00 keV   5.280E+01  1.125E+03      52 A        56 A        43 A   
  14.00 keV   5.479E+01  1.151E+03      54 A        58 A        45 A   
  15.00 keV   5.671E+01  1.175E+03      57 A        60 A        47 A   
  16.00 keV   5.857E+01  1.198E+03      59 A        63 A        49 A   
  17.00 keV   6.038E+01  1.219E+03      62 A        65 A        50 A   
  18.00 keV   6.213E+01  1.239E+03      64 A        67 A        52 A   
  20.00 keV   6.549E+01  1.275E+03      69 A        72 A        56 A   
  22.50 keV   6.946E+01  1.316E+03      75 A        77 A        60 A   
  25.00 keV   7.322E+01  1.351E+03      81 A        82 A        64 A   
  27.50 keV   7.679E+01  1.383E+03      87 A        88 A        68 A   
  30.00 keV   8.021E+01  1.411E+03      92 A        93 A        72 A   
  32.50 keV   8.348E+01  1.437E+03      98 A        98 A        76 A   
  35.00 keV   8.663E+01  1.460E+03     104 A       102 A        80 A   
  37.50 keV   8.967E+01  1.481E+03     109 A       107 A        83 A   
  40.00 keV   9.261E+01  1.501E+03     115 A       112 A        87 A   
  45.00 keV   9.823E+01  1.535E+03     125 A       121 A        95 A   
