 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 02, 2023 
 ==================================================================

 Disk File Name = Target-238-92_Ion-73-29.txt

 Ion = Copper       [29] , Mass = 73 amu

 Density =  1.9043E+01 g/cm3 = 4.8184E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      U     92    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Copper       [29] , Mass = 73 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   5.382E+01  1.053E+03      43 A        47 A        36 A   
  11.00 keV   5.644E+01  1.087E+03      45 A        50 A        38 A   
  12.00 keV   5.895E+01  1.118E+03      48 A        52 A        40 A   
  13.00 keV   6.136E+01  1.147E+03      50 A        55 A        42 A   
  14.00 keV   6.368E+01  1.174E+03      53 A        57 A        44 A   
  15.00 keV   6.591E+01  1.199E+03      56 A        59 A        46 A   
  16.00 keV   6.807E+01  1.222E+03      58 A        62 A        48 A   
  17.00 keV   7.017E+01  1.244E+03      60 A        64 A        49 A   
  18.00 keV   7.220E+01  1.265E+03      63 A        66 A        51 A   
  20.00 keV   7.611E+01  1.303E+03      68 A        70 A        54 A   
  22.50 keV   8.073E+01  1.344E+03      73 A        76 A        59 A   
  25.00 keV   8.509E+01  1.381E+03      79 A        81 A        63 A   
  27.50 keV   8.925E+01  1.414E+03      85 A        86 A        66 A   
  30.00 keV   9.321E+01  1.444E+03      90 A        90 A        70 A   
  32.50 keV   9.702E+01  1.471E+03      96 A        95 A        74 A   
  35.00 keV   1.007E+02  1.495E+03     101 A       100 A        78 A   
  37.50 keV   1.042E+02  1.517E+03     106 A       105 A        81 A   
  40.00 keV   1.076E+02  1.537E+03     112 A       109 A        85 A   
  45.00 keV   1.142E+02  1.573E+03     122 A       118 A        92 A   
