 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 02, 2023 
 ==================================================================

 Disk File Name = Target-238-92_Ion-73-34.txt

 Ion = Selenium     [34] , Mass = 73 amu

 Density =  1.9043E+01 g/cm3 = 4.8184E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      U     92    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Selenium     [34] , Mass = 73 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   8.317E+01  1.143E+03      39 A        44 A        33 A   
  11.00 keV   8.723E+01  1.182E+03      42 A        46 A        35 A   
  12.00 keV   9.111E+01  1.218E+03      44 A        48 A        37 A   
  13.00 keV   9.483E+01  1.251E+03      46 A        50 A        39 A   
  14.00 keV   9.841E+01  1.281E+03      48 A        52 A        40 A   
  15.00 keV   1.019E+02  1.310E+03      51 A        54 A        42 A   
  16.00 keV   1.052E+02  1.337E+03      53 A        57 A        44 A   
  17.00 keV   1.084E+02  1.362E+03      55 A        59 A        45 A   
  18.00 keV   1.116E+02  1.386E+03      57 A        60 A        47 A   
  20.00 keV   1.176E+02  1.430E+03      61 A        64 A        50 A   
  22.50 keV   1.248E+02  1.479E+03      67 A        69 A        53 A   
  25.00 keV   1.315E+02  1.523E+03      72 A        73 A        57 A   
  27.50 keV   1.379E+02  1.562E+03      77 A        78 A        60 A   
  30.00 keV   1.441E+02  1.597E+03      81 A        82 A        64 A   
  32.50 keV   1.499E+02  1.629E+03      86 A        86 A        67 A   
  35.00 keV   1.556E+02  1.658E+03      91 A        91 A        70 A   
  37.50 keV   1.611E+02  1.684E+03      96 A        95 A        73 A   
  40.00 keV   1.663E+02  1.709E+03     100 A        99 A        77 A   
  45.00 keV   1.764E+02  1.753E+03     109 A       107 A        83 A   
