 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 02, 2023 
 ==================================================================

 Disk File Name = Target-238-92_Ion-74-33.txt

 Ion = Arsenic      [33] , Mass = 74 amu

 Density =  1.9043E+01 g/cm3 = 4.8184E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      U     92    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Arsenic      [33] , Mass = 74 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   8.375E+01  1.136E+03      40 A        44 A        34 A   
  11.00 keV   8.784E+01  1.175E+03      42 A        46 A        35 A   
  12.00 keV   9.174E+01  1.210E+03      45 A        48 A        37 A   
  13.00 keV   9.549E+01  1.242E+03      47 A        51 A        39 A   
  14.00 keV   9.909E+01  1.273E+03      49 A        53 A        41 A   
  15.00 keV   1.026E+02  1.301E+03      52 A        55 A        42 A   
  16.00 keV   1.059E+02  1.328E+03      54 A        57 A        44 A   
  17.00 keV   1.092E+02  1.352E+03      56 A        59 A        45 A   
  18.00 keV   1.124E+02  1.376E+03      58 A        61 A        47 A   
  20.00 keV   1.184E+02  1.419E+03      62 A        65 A        50 A   
  22.50 keV   1.256E+02  1.467E+03      68 A        69 A        54 A   
  25.00 keV   1.324E+02  1.510E+03      73 A        74 A        57 A   
  27.50 keV   1.389E+02  1.548E+03      78 A        78 A        61 A   
  30.00 keV   1.451E+02  1.582E+03      83 A        83 A        64 A   
  32.50 keV   1.510E+02  1.614E+03      88 A        87 A        68 A   
  35.00 keV   1.567E+02  1.642E+03      93 A        91 A        71 A   
  37.50 keV   1.622E+02  1.668E+03      97 A        95 A        74 A   
  40.00 keV   1.675E+02  1.692E+03     102 A        99 A        77 A   
  45.00 keV   1.777E+02  1.735E+03     111 A       107 A        84 A   
