 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 02, 2023 
 ==================================================================

 Disk File Name = Target-93-41_Ion-61-25.txt

 Ion = Manganese    [25] , Mass = 61 amu

 Density =  8.5700E+00 g/cm3 = 5.5493E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Nb     41    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Manganese    [25] , Mass = 61 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.124E+02  1.136E+03      60 A        44 A        32 A   
  11.00 keV   1.178E+02  1.164E+03      65 A        47 A        34 A   
  12.00 keV   1.231E+02  1.190E+03      68 A        50 A        36 A   
  13.00 keV   1.281E+02  1.212E+03      72 A        52 A        37 A   
  14.00 keV   1.329E+02  1.233E+03      76 A        54 A        39 A   
  15.00 keV   1.376E+02  1.252E+03      80 A        57 A        41 A   
  16.00 keV   1.421E+02  1.269E+03      84 A        59 A        43 A   
  17.00 keV   1.465E+02  1.285E+03      88 A        61 A        44 A   
  18.00 keV   1.507E+02  1.300E+03      91 A        64 A        46 A   
  20.00 keV   1.589E+02  1.327E+03      99 A        68 A        49 A   
  22.50 keV   1.685E+02  1.355E+03     108 A        73 A        53 A   
  25.00 keV   1.777E+02  1.379E+03     117 A        79 A        57 A   
  27.50 keV   1.863E+02  1.399E+03     126 A        84 A        60 A   
  30.00 keV   1.946E+02  1.416E+03     134 A        89 A        64 A   
  32.50 keV   2.026E+02  1.431E+03     143 A        94 A        68 A   
  35.00 keV   2.102E+02  1.444E+03     152 A        99 A        71 A   
  37.50 keV   2.176E+02  1.455E+03     160 A       104 A        75 A   
  40.00 keV   2.247E+02  1.465E+03     169 A       109 A        78 A   
  45.00 keV   2.384E+02  1.480E+03     186 A       118 A        85 A   
