 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 02, 2023 
 ==================================================================

 Disk File Name = Target-93-41_Ion-62-30.txt

 Ion = Zinc         [30] , Mass = 62 amu

 Density =  8.5700E+00 g/cm3 = 5.5493E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Nb     41    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Zinc         [30] , Mass = 62 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.343E+02  1.276E+03      55 A        40 A        29 A   
  11.00 keV   1.408E+02  1.310E+03      58 A        43 A        31 A   
  12.00 keV   1.471E+02  1.341E+03      62 A        45 A        32 A   
  13.00 keV   1.531E+02  1.369E+03      65 A        47 A        34 A   
  14.00 keV   1.589E+02  1.394E+03      69 A        49 A        35 A   
  15.00 keV   1.644E+02  1.418E+03      72 A        51 A        37 A   
  16.00 keV   1.698E+02  1.440E+03      75 A        53 A        38 A   
  17.00 keV   1.750E+02  1.460E+03      79 A        55 A        40 A   
  18.00 keV   1.801E+02  1.479E+03      82 A        57 A        41 A   
  20.00 keV   1.899E+02  1.512E+03      88 A        61 A        44 A   
  22.50 keV   2.014E+02  1.549E+03      96 A        66 A        48 A   
  25.00 keV   2.123E+02  1.580E+03     104 A        71 A        51 A   
  27.50 keV   2.226E+02  1.607E+03     111 A        75 A        54 A   
  30.00 keV   2.325E+02  1.631E+03     119 A        79 A        57 A   
  32.50 keV   2.420E+02  1.651E+03     126 A        84 A        60 A   
  35.00 keV   2.512E+02  1.669E+03     134 A        88 A        63 A   
  37.50 keV   2.600E+02  1.685E+03     141 A        92 A        66 A   
  40.00 keV   2.685E+02  1.700E+03     148 A        96 A        69 A   
  45.00 keV   2.848E+02  1.723E+03     163 A       105 A        75 A   
