 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 02, 2023 
 ==================================================================

 Disk File Name = Target-93-41_Ion-62-32.txt

 Ion = Germanium    [32] , Mass = 62 amu

 Density =  8.5700E+00 g/cm3 = 5.5493E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Nb     41    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Germanium    [32] , Mass = 62 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.116E+02  1.324E+03      53 A        40 A        29 A   
  11.00 keV   1.171E+02  1.360E+03      57 A        42 A        31 A   
  12.00 keV   1.223E+02  1.393E+03      60 A        44 A        32 A   
  13.00 keV   1.273E+02  1.423E+03      64 A        46 A        34 A   
  14.00 keV   1.321E+02  1.450E+03      67 A        49 A        35 A   
  15.00 keV   1.367E+02  1.476E+03      70 A        51 A        36 A   
  16.00 keV   1.412E+02  1.499E+03      73 A        53 A        38 A   
  17.00 keV   1.455E+02  1.521E+03      76 A        55 A        39 A   
  18.00 keV   1.498E+02  1.541E+03      80 A        57 A        41 A   
  20.00 keV   1.579E+02  1.577E+03      86 A        60 A        44 A   
  22.50 keV   1.674E+02  1.617E+03      93 A        65 A        47 A   
  25.00 keV   1.765E+02  1.651E+03     101 A        70 A        50 A   
  27.50 keV   1.851E+02  1.681E+03     108 A        74 A        53 A   
  30.00 keV   1.933E+02  1.706E+03     116 A        78 A        56 A   
  32.50 keV   2.012E+02  1.729E+03     123 A        83 A        59 A   
  35.00 keV   2.088E+02  1.749E+03     130 A        87 A        62 A   
  37.50 keV   2.162E+02  1.767E+03     137 A        91 A        65 A   
  40.00 keV   2.233E+02  1.783E+03     144 A        95 A        68 A   
  45.00 keV   2.368E+02  1.810E+03     158 A       103 A        74 A   
