 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 02, 2023 
 ==================================================================

 Disk File Name = Target-93-41_Ion-64-26.txt

 Ion = Iron         [26] , Mass = 64 amu

 Density =  8.5700E+00 g/cm3 = 5.5493E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Nb     41    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Iron         [26] , Mass = 64 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.176E+02  1.191E+03      59 A        43 A        31 A   
  11.00 keV   1.234E+02  1.221E+03      63 A        45 A        33 A   
  12.00 keV   1.289E+02  1.248E+03      67 A        48 A        34 A   
  13.00 keV   1.341E+02  1.273E+03      71 A        50 A        36 A   
  14.00 keV   1.392E+02  1.295E+03      75 A        52 A        38 A   
  15.00 keV   1.441E+02  1.316E+03      78 A        55 A        39 A   
  16.00 keV   1.488E+02  1.335E+03      82 A        57 A        41 A   
  17.00 keV   1.534E+02  1.352E+03      86 A        59 A        42 A   
  18.00 keV   1.578E+02  1.368E+03      89 A        61 A        44 A   
  20.00 keV   1.664E+02  1.397E+03      96 A        65 A        47 A   
  22.50 keV   1.765E+02  1.428E+03     105 A        70 A        51 A   
  25.00 keV   1.860E+02  1.454E+03     114 A        75 A        54 A   
  27.50 keV   1.951E+02  1.477E+03     122 A        80 A        58 A   
  30.00 keV   2.038E+02  1.496E+03     131 A        85 A        61 A   
  32.50 keV   2.121E+02  1.513E+03     139 A        90 A        65 A   
  35.00 keV   2.201E+02  1.527E+03     147 A        95 A        68 A   
  37.50 keV   2.278E+02  1.540E+03     156 A        99 A        71 A   
  40.00 keV   2.353E+02  1.551E+03     164 A       104 A        75 A   
  45.00 keV   2.496E+02  1.569E+03     180 A       113 A        81 A   
