 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 02, 2023 
 ==================================================================

 Disk File Name = Target-93-41_Ion-65-33.txt

 Ion = Arsenic      [33] , Mass = 65 amu

 Density =  8.5700E+00 g/cm3 = 5.5493E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Nb     41    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Arsenic      [33] , Mass = 65 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.281E+02  1.378E+03      53 A        39 A        28 A   
  11.00 keV   1.343E+02  1.416E+03      56 A        41 A        29 A   
  12.00 keV   1.403E+02  1.451E+03      59 A        43 A        31 A   
  13.00 keV   1.461E+02  1.483E+03      62 A        45 A        32 A   
  14.00 keV   1.516E+02  1.512E+03      66 A        47 A        34 A   
  15.00 keV   1.569E+02  1.539E+03      69 A        49 A        35 A   
  16.00 keV   1.620E+02  1.564E+03      72 A        51 A        36 A   
  17.00 keV   1.670E+02  1.587E+03      75 A        53 A        38 A   
  18.00 keV   1.719E+02  1.609E+03      78 A        54 A        39 A   
  20.00 keV   1.812E+02  1.648E+03      84 A        58 A        42 A   
  22.50 keV   1.921E+02  1.690E+03      91 A        62 A        45 A   
  25.00 keV   2.025E+02  1.727E+03      99 A        67 A        48 A   
  27.50 keV   2.124E+02  1.759E+03     106 A        71 A        51 A   
  30.00 keV   2.219E+02  1.787E+03     113 A        75 A        54 A   
  32.50 keV   2.309E+02  1.812E+03     120 A        79 A        57 A   
  35.00 keV   2.396E+02  1.834E+03     127 A        83 A        60 A   
  37.50 keV   2.481E+02  1.853E+03     133 A        87 A        62 A   
  40.00 keV   2.562E+02  1.871E+03     140 A        91 A        65 A   
  45.00 keV   2.717E+02  1.901E+03     154 A        98 A        71 A   
