 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 04, 2023 
 ==================================================================

 Disk File Name = Target-93-41_Ion-67-28.txt

 Ion = Nickel       [28] , Mass = 67 amu

 Density =  8.5700E+00 g/cm3 = 5.5493E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Nb     41    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Nickel       [28] , Mass = 67 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   6.929E+01  1.272E+03      58 A        42 A        30 A   
  11.00 keV   7.267E+01  1.305E+03      62 A        45 A        32 A   
  12.00 keV   7.590E+01  1.335E+03      66 A        47 A        34 A   
  13.00 keV   7.900E+01  1.363E+03      70 A        49 A        35 A   
  14.00 keV   8.198E+01  1.388E+03      73 A        51 A        37 A   
  15.00 keV   8.486E+01  1.411E+03      77 A        54 A        39 A   
  16.00 keV   8.764E+01  1.432E+03      80 A        56 A        40 A   
  17.00 keV   9.034E+01  1.452E+03      84 A        58 A        42 A   
  18.00 keV   9.296E+01  1.470E+03      87 A        60 A        43 A   
  20.00 keV   9.799E+01  1.503E+03      94 A        64 A        46 A   
  22.50 keV   1.039E+02  1.538E+03     103 A        69 A        50 A   
  25.00 keV   1.096E+02  1.568E+03     111 A        74 A        53 A   
  27.50 keV   1.149E+02  1.594E+03     119 A        79 A        57 A   
  30.00 keV   1.200E+02  1.617E+03     128 A        84 A        60 A   
  32.50 keV   1.249E+02  1.637E+03     136 A        88 A        63 A   
  35.00 keV   1.296E+02  1.654E+03     144 A        93 A        67 A   
  37.50 keV   1.342E+02  1.669E+03     152 A        98 A        70 A   
  40.00 keV   1.386E+02  1.683E+03     160 A       102 A        73 A   
  45.00 keV   1.470E+02  1.705E+03     176 A       111 A        79 A   
