 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 04, 2023 
 ==================================================================

 Disk File Name = Target-93-41_Ion-68-27.txt

 Ion = Cobalt       [27] , Mass = 68 amu

 Density =  8.5700E+00 g/cm3 = 5.5493E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Nb     41    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Cobalt       [27] , Mass = 68 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.007E+02  1.254E+03      59 A        42 A        30 A   
  11.00 keV   1.057E+02  1.286E+03      63 A        44 A        32 A   
  12.00 keV   1.104E+02  1.315E+03      66 A        46 A        33 A   
  13.00 keV   1.149E+02  1.342E+03      70 A        49 A        35 A   
  14.00 keV   1.192E+02  1.366E+03      74 A        51 A        37 A   
  15.00 keV   1.234E+02  1.389E+03      77 A        53 A        38 A   
  16.00 keV   1.274E+02  1.409E+03      81 A        55 A        40 A   
  17.00 keV   1.314E+02  1.428E+03      85 A        57 A        41 A   
  18.00 keV   1.352E+02  1.446E+03      88 A        59 A        43 A   
  20.00 keV   1.425E+02  1.478E+03      95 A        63 A        46 A   
  22.50 keV   1.511E+02  1.512E+03     104 A        68 A        49 A   
  25.00 keV   1.593E+02  1.541E+03     112 A        73 A        53 A   
  27.50 keV   1.671E+02  1.566E+03     120 A        78 A        56 A   
  30.00 keV   1.745E+02  1.587E+03     129 A        83 A        59 A   
  32.50 keV   1.816E+02  1.606E+03     137 A        87 A        63 A   
  35.00 keV   1.885E+02  1.622E+03     145 A        92 A        66 A   
  37.50 keV   1.951E+02  1.637E+03     153 A        96 A        69 A   
  40.00 keV   2.015E+02  1.650E+03     161 A       101 A        72 A   
  45.00 keV   2.137E+02  1.671E+03     177 A       109 A        78 A   
