 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 02, 2023 
 ==================================================================

 Disk File Name = Target-93-41_Ion-71-34.txt

 Ion = Selenium     [34] , Mass = 71 amu

 Density =  8.5700E+00 g/cm3 = 5.5493E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Nb     41    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Selenium     [34] , Mass = 71 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.209E+02  1.458E+03      52 A        37 A        27 A   
  11.00 keV   1.268E+02  1.500E+03      56 A        39 A        28 A   
  12.00 keV   1.324E+02  1.537E+03      59 A        41 A        30 A   
  13.00 keV   1.378E+02  1.572E+03      62 A        43 A        31 A   
  14.00 keV   1.430E+02  1.604E+03      65 A        45 A        32 A   
  15.00 keV   1.481E+02  1.633E+03      68 A        47 A        34 A   
  16.00 keV   1.529E+02  1.660E+03      71 A        49 A        35 A   
  17.00 keV   1.576E+02  1.686E+03      74 A        51 A        36 A   
  18.00 keV   1.622E+02  1.710E+03      77 A        52 A        38 A   
  20.00 keV   1.710E+02  1.752E+03      83 A        56 A        40 A   
  22.50 keV   1.813E+02  1.799E+03      90 A        60 A        43 A   
  25.00 keV   1.912E+02  1.840E+03      97 A        64 A        46 A   
  27.50 keV   2.005E+02  1.875E+03     104 A        68 A        49 A   
  30.00 keV   2.094E+02  1.907E+03     111 A        72 A        52 A   
  32.50 keV   2.180E+02  1.934E+03     118 A        75 A        54 A   
  35.00 keV   2.262E+02  1.959E+03     125 A        79 A        57 A   
  37.50 keV   2.341E+02  1.981E+03     131 A        83 A        60 A   
  40.00 keV   2.418E+02  2.001E+03     138 A        86 A        62 A   
  45.00 keV   2.565E+02  2.035E+03     151 A        93 A        67 A   
