 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 02, 2023 
 ==================================================================

 Disk File Name = Target-93-41_Ion-73-31.txt

 Ion = Gallium      [31] , Mass = 73 amu

 Density =  8.5700E+00 g/cm3 = 5.5493E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Nb     41    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Gallium      [31] , Mass = 73 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.228E+02  1.401E+03      55 A        38 A        27 A   
  11.00 keV   1.288E+02  1.440E+03      58 A        40 A        29 A   
  12.00 keV   1.345E+02  1.475E+03      62 A        42 A        30 A   
  13.00 keV   1.400E+02  1.507E+03      65 A        44 A        32 A   
  14.00 keV   1.453E+02  1.537E+03      68 A        46 A        33 A   
  15.00 keV   1.504E+02  1.564E+03      72 A        48 A        35 A   
  16.00 keV   1.553E+02  1.589E+03      75 A        50 A        36 A   
  17.00 keV   1.601E+02  1.613E+03      78 A        52 A        37 A   
  18.00 keV   1.647E+02  1.634E+03      81 A        54 A        39 A   
  20.00 keV   1.736E+02  1.674E+03      87 A        57 A        41 A   
  22.50 keV   1.841E+02  1.716E+03      95 A        61 A        44 A   
  25.00 keV   1.941E+02  1.753E+03     103 A        66 A        47 A   
  27.50 keV   2.036E+02  1.785E+03     110 A        70 A        50 A   
  30.00 keV   2.126E+02  1.813E+03     117 A        74 A        53 A   
  32.50 keV   2.213E+02  1.838E+03     125 A        78 A        56 A   
  35.00 keV   2.297E+02  1.860E+03     132 A        82 A        59 A   
  37.50 keV   2.377E+02  1.880E+03     139 A        85 A        62 A   
  40.00 keV   2.455E+02  1.897E+03     146 A        89 A        64 A   
  45.00 keV   2.604E+02  1.927E+03     160 A        97 A        70 A   
