 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 02, 2023 
 ==================================================================

 Disk File Name = Target-93-41_Ion-75-29.txt

 Ion = Copper       [29] , Mass = 75 amu

 Density =  8.5700E+00 g/cm3 = 5.5493E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Nb     41    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Copper       [29] , Mass = 75 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   7.611E+01  1.365E+03      58 A        40 A        29 A   
  11.00 keV   7.983E+01  1.402E+03      61 A        42 A        30 A   
  12.00 keV   8.338E+01  1.435E+03      65 A        44 A        32 A   
  13.00 keV   8.678E+01  1.466E+03      69 A        46 A        33 A   
  14.00 keV   9.006E+01  1.494E+03      72 A        48 A        35 A   
  15.00 keV   9.322E+01  1.520E+03      76 A        51 A        36 A   
  16.00 keV   9.627E+01  1.543E+03      79 A        53 A        38 A   
  17.00 keV   9.924E+01  1.565E+03      82 A        54 A        39 A   
  18.00 keV   1.021E+02  1.586E+03      86 A        56 A        41 A   
  20.00 keV   1.076E+02  1.623E+03      93 A        60 A        43 A   
  22.50 keV   1.142E+02  1.663E+03     101 A        65 A        47 A   
  25.00 keV   1.203E+02  1.697E+03     109 A        69 A        50 A   
  27.50 keV   1.262E+02  1.727E+03     117 A        74 A        53 A   
  30.00 keV   1.318E+02  1.753E+03     125 A        78 A        56 A   
  32.50 keV   1.372E+02  1.776E+03     132 A        82 A        59 A   
  35.00 keV   1.424E+02  1.797E+03     140 A        87 A        62 A   
  37.50 keV   1.474E+02  1.814E+03     148 A        91 A        65 A   
  40.00 keV   1.522E+02  1.830E+03     155 A        95 A        68 A   
  45.00 keV   1.615E+02  1.857E+03     170 A       103 A        74 A   
