 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 02, 2023 
 ==================================================================

 Disk File Name = Target-93-41_Ion-75-35.txt

 Ion = Bromine      [35] , Mass = 75 amu

 Density =  8.5700E+00 g/cm3 = 5.5493E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Nb     41    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Bromine      [35] , Mass = 75 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.152E+02  1.517E+03      52 A        36 A        26 A   
  11.00 keV   1.208E+02  1.561E+03      55 A        38 A        27 A   
  12.00 keV   1.262E+02  1.601E+03      58 A        40 A        29 A   
  13.00 keV   1.313E+02  1.637E+03      62 A        42 A        30 A   
  14.00 keV   1.363E+02  1.671E+03      65 A        44 A        32 A   
  15.00 keV   1.411E+02  1.703E+03      68 A        46 A        33 A   
  16.00 keV   1.457E+02  1.732E+03      71 A        47 A        34 A   
  17.00 keV   1.502E+02  1.759E+03      74 A        49 A        35 A   
  18.00 keV   1.545E+02  1.784E+03      77 A        51 A        37 A   
  20.00 keV   1.629E+02  1.830E+03      82 A        54 A        39 A   
  22.50 keV   1.728E+02  1.880E+03      89 A        58 A        42 A   
  25.00 keV   1.821E+02  1.924E+03      96 A        62 A        45 A   
  27.50 keV   1.910E+02  1.962E+03     103 A        66 A        47 A   
  30.00 keV   1.995E+02  1.996E+03     110 A        69 A        50 A   
  32.50 keV   2.077E+02  2.026E+03     116 A        73 A        53 A   
  35.00 keV   2.155E+02  2.053E+03     123 A        77 A        55 A   
  37.50 keV   2.231E+02  2.077E+03     129 A        80 A        58 A   
  40.00 keV   2.304E+02  2.099E+03     136 A        84 A        60 A   
  45.00 keV   2.443E+02  2.136E+03     149 A        90 A        65 A   
