 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 02, 2023 
 ==================================================================

 Disk File Name = Target-238-92_Ion-61-30.txt

 Ion = Zinc         [30] , Mass = 61 amu

 Density =  1.9043E+01 g/cm3 = 4.8184E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      U     92    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Zinc         [30] , Mass = 61 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   9.442E+01  9.440E+02      41 A        49 A        37 A   
  11.00 keV   9.903E+01  9.746E+02      44 A        52 A        39 A   
  12.00 keV   1.034E+02  1.003E+03      46 A        54 A        41 A   
  13.00 keV   1.077E+02  1.029E+03      49 A        57 A        43 A   
  14.00 keV   1.117E+02  1.053E+03      51 A        59 A        45 A   
  15.00 keV   1.156E+02  1.075E+03      54 A        62 A        47 A   
  16.00 keV   1.194E+02  1.096E+03      56 A        64 A        49 A   
  17.00 keV   1.231E+02  1.116E+03      58 A        66 A        51 A   
  18.00 keV   1.267E+02  1.134E+03      61 A        69 A        52 A   
  20.00 keV   1.335E+02  1.168E+03      65 A        73 A        56 A   
  22.50 keV   1.416E+02  1.205E+03      71 A        78 A        60 A   
  25.00 keV   1.493E+02  1.238E+03      76 A        84 A        64 A   
  27.50 keV   1.566E+02  1.268E+03      82 A        89 A        68 A   
  30.00 keV   1.635E+02  1.294E+03      87 A        94 A        72 A   
  32.50 keV   1.702E+02  1.318E+03      92 A        99 A        76 A   
  35.00 keV   1.766E+02  1.340E+03      98 A       104 A        80 A   
  37.50 keV   1.828E+02  1.360E+03     103 A       109 A        84 A   
  40.00 keV   1.888E+02  1.378E+03     108 A       113 A        87 A   
  45.00 keV   2.003E+02  1.410E+03     118 A       123 A        95 A   
