 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 02, 2023 
 ==================================================================

 Disk File Name = Target-238-92_Ion-65-28.txt

 Ion = Nickel       [28] , Mass = 65 amu

 Density =  1.9043E+01 g/cm3 = 4.8184E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      U     92    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Nickel       [28] , Mass = 65 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.907E+01  9.527E+02      43 A        50 A        39 A   
  11.00 keV   5.147E+01  9.830E+02      46 A        53 A        41 A   
  12.00 keV   5.376E+01  1.011E+03      49 A        56 A        43 A   
  13.00 keV   5.595E+01  1.037E+03      51 A        59 A        45 A   
  14.00 keV   5.806E+01  1.060E+03      54 A        61 A        47 A   
  15.00 keV   6.010E+01  1.082E+03      56 A        64 A        49 A   
  16.00 keV   6.207E+01  1.103E+03      59 A        66 A        51 A   
  17.00 keV   6.398E+01  1.122E+03      61 A        69 A        53 A   
  18.00 keV   6.584E+01  1.141E+03      64 A        71 A        55 A   
  20.00 keV   6.940E+01  1.174E+03      69 A        76 A        58 A   
  22.50 keV   7.361E+01  1.211E+03      75 A        81 A        63 A   
  25.00 keV   7.759E+01  1.243E+03      81 A        87 A        67 A   
  27.50 keV   8.138E+01  1.272E+03      87 A        92 A        71 A   
  30.00 keV   8.500E+01  1.298E+03      92 A        98 A        76 A   
  32.50 keV   8.847E+01  1.321E+03      98 A       103 A        80 A   
  35.00 keV   9.181E+01  1.342E+03     104 A       108 A        84 A   
  37.50 keV   9.503E+01  1.361E+03     109 A       113 A        88 A   
  40.00 keV   9.815E+01  1.379E+03     115 A       118 A        92 A   
  45.00 keV   1.041E+02  1.409E+03     126 A       128 A        99 A   
