 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 02, 2023 
 ==================================================================

 Disk File Name = Target-238-92_Ion-67-34.txt

 Ion = Selenium     [34] , Mass = 67 amu

 Density =  1.9043E+01 g/cm3 = 4.8184E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      U     92    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Selenium     [34] , Mass = 67 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   8.682E+01  1.077E+03      39 A        45 A        34 A   
  11.00 keV   9.106E+01  1.114E+03      41 A        47 A        36 A   
  12.00 keV   9.510E+01  1.147E+03      44 A        50 A        38 A   
  13.00 keV   9.899E+01  1.178E+03      46 A        52 A        40 A   
  14.00 keV   1.027E+02  1.207E+03      48 A        54 A        42 A   
  15.00 keV   1.063E+02  1.234E+03      50 A        56 A        43 A   
  16.00 keV   1.098E+02  1.259E+03      53 A        59 A        45 A   
  17.00 keV   1.132E+02  1.283E+03      55 A        61 A        47 A   
  18.00 keV   1.165E+02  1.305E+03      57 A        63 A        48 A   
  20.00 keV   1.228E+02  1.346E+03      61 A        67 A        51 A   
  22.50 keV   1.302E+02  1.392E+03      66 A        71 A        55 A   
  25.00 keV   1.373E+02  1.432E+03      71 A        76 A        59 A   
  27.50 keV   1.440E+02  1.469E+03      76 A        81 A        62 A   
  30.00 keV   1.504E+02  1.502E+03      81 A        85 A        66 A   
  32.50 keV   1.565E+02  1.531E+03      86 A        90 A        69 A   
  35.00 keV   1.624E+02  1.558E+03      91 A        94 A        73 A   
  37.50 keV   1.681E+02  1.583E+03      95 A        98 A        76 A   
  40.00 keV   1.736E+02  1.606E+03     100 A       102 A        79 A   
  45.00 keV   1.842E+02  1.647E+03     109 A       111 A        86 A   
