 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 02, 2023 
 ==================================================================

 Disk File Name = Target-238-92_Ion-68-31.txt

 Ion = Gallium      [31] , Mass = 68 amu

 Density =  1.9043E+01 g/cm3 = 4.8184E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      U     92    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Gallium      [31] , Mass = 68 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   8.873E+01  1.038E+03      41 A        46 A        35 A   
  11.00 keV   9.306E+01  1.072E+03      43 A        49 A        37 A   
  12.00 keV   9.720E+01  1.103E+03      46 A        51 A        39 A   
  13.00 keV   1.012E+02  1.132E+03      48 A        54 A        41 A   
  14.00 keV   1.050E+02  1.159E+03      51 A        56 A        43 A   
  15.00 keV   1.087E+02  1.184E+03      53 A        58 A        45 A   
  16.00 keV   1.122E+02  1.208E+03      55 A        60 A        46 A   
  17.00 keV   1.157E+02  1.230E+03      58 A        63 A        48 A   
  18.00 keV   1.190E+02  1.251E+03      60 A        65 A        50 A   
  20.00 keV   1.255E+02  1.289E+03      64 A        69 A        53 A   
  22.50 keV   1.331E+02  1.331E+03      70 A        74 A        57 A   
  25.00 keV   1.403E+02  1.369E+03      75 A        79 A        61 A   
  27.50 keV   1.471E+02  1.402E+03      80 A        84 A        65 A   
  30.00 keV   1.537E+02  1.432E+03      86 A        88 A        68 A   
  32.50 keV   1.600E+02  1.459E+03      91 A        93 A        72 A   
  35.00 keV   1.660E+02  1.484E+03      96 A        97 A        75 A   
  37.50 keV   1.718E+02  1.506E+03     101 A       102 A        79 A   
  40.00 keV   1.775E+02  1.527E+03     106 A       106 A        82 A   
  45.00 keV   1.882E+02  1.564E+03     116 A       115 A        89 A   
