 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 02, 2023 
 ==================================================================

 Disk File Name = Target-238-92_Ion-69-27.txt

 Ion = Cobalt       [27] , Mass = 69 amu

 Density =  1.9043E+01 g/cm3 = 4.8184E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      U     92    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Cobalt       [27] , Mass = 69 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   6.977E+01  9.746E+02      44 A        49 A        38 A   
  11.00 keV   7.317E+01  1.005E+03      47 A        52 A        40 A   
  12.00 keV   7.643E+01  1.034E+03      49 A        54 A        42 A   
  13.00 keV   7.955E+01  1.060E+03      52 A        57 A        44 A   
  14.00 keV   8.255E+01  1.084E+03      55 A        60 A        46 A   
  15.00 keV   8.545E+01  1.106E+03      57 A        62 A        48 A   
  16.00 keV   8.825E+01  1.127E+03      60 A        64 A        50 A   
  17.00 keV   9.097E+01  1.147E+03      62 A        67 A        52 A   
  18.00 keV   9.361E+01  1.165E+03      65 A        69 A        53 A   
  20.00 keV   9.867E+01  1.199E+03      70 A        74 A        57 A   
  22.50 keV   1.047E+02  1.236E+03      76 A        79 A        61 A   
  25.00 keV   1.103E+02  1.269E+03      82 A        85 A        66 A   
  27.50 keV   1.157E+02  1.298E+03      88 A        90 A        70 A   
  30.00 keV   1.208E+02  1.324E+03      94 A        95 A        74 A   
  32.50 keV   1.258E+02  1.347E+03      99 A       100 A        78 A   
  35.00 keV   1.305E+02  1.368E+03     105 A       105 A        82 A   
  37.50 keV   1.351E+02  1.387E+03     111 A       110 A        86 A   
  40.00 keV   1.395E+02  1.405E+03     116 A       115 A        89 A   
  45.00 keV   1.480E+02  1.436E+03     127 A       125 A        97 A   
