 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 02, 2023 
 ==================================================================

 Disk File Name = Target-238-92_Ion-69-32.txt

 Ion = Germanium    [32] , Mass = 69 amu

 Density =  1.9043E+01 g/cm3 = 4.8184E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      U     92    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Germanium    [32] , Mass = 69 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   7.381E+01  1.066E+03      40 A        46 A        35 A   
  11.00 keV   7.742E+01  1.101E+03      43 A        48 A        37 A   
  12.00 keV   8.086E+01  1.134E+03      45 A        51 A        39 A   
  13.00 keV   8.416E+01  1.164E+03      48 A        53 A        41 A   
  14.00 keV   8.734E+01  1.192E+03      50 A        55 A        43 A   
  15.00 keV   9.040E+01  1.218E+03      52 A        58 A        44 A   
  16.00 keV   9.337E+01  1.243E+03      55 A        60 A        46 A   
  17.00 keV   9.624E+01  1.266E+03      57 A        62 A        48 A   
  18.00 keV   9.903E+01  1.287E+03      59 A        64 A        49 A   
  20.00 keV   1.044E+02  1.327E+03      64 A        68 A        53 A   
  22.50 keV   1.107E+02  1.371E+03      69 A        73 A        56 A   
  25.00 keV   1.167E+02  1.410E+03      74 A        78 A        60 A   
  27.50 keV   1.224E+02  1.445E+03      79 A        83 A        64 A   
  30.00 keV   1.278E+02  1.477E+03      84 A        87 A        68 A   
  32.50 keV   1.331E+02  1.505E+03      90 A        92 A        71 A   
  35.00 keV   1.381E+02  1.531E+03      95 A        96 A        75 A   
  37.50 keV   1.429E+02  1.555E+03      99 A       101 A        78 A   
  40.00 keV   1.476E+02  1.577E+03     104 A       105 A        82 A   
  45.00 keV   1.566E+02  1.615E+03     114 A       114 A        88 A   
