 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 02, 2023 
 ==================================================================

 Disk File Name = Target-238-92_Ion-72-33.txt

 Ion = Arsenic      [33] , Mass = 72 amu

 Density =  1.9043E+01 g/cm3 = 4.8184E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      U     92    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Arsenic      [33] , Mass = 72 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   8.490E+01  1.115E+03      40 A        44 A        34 A   
  11.00 keV   8.905E+01  1.153E+03      42 A        47 A        36 A   
  12.00 keV   9.301E+01  1.187E+03      45 A        49 A        38 A   
  13.00 keV   9.681E+01  1.219E+03      47 A        51 A        39 A   
  14.00 keV   1.005E+02  1.249E+03      49 A        53 A        41 A   
  15.00 keV   1.040E+02  1.277E+03      51 A        55 A        43 A   
  16.00 keV   1.074E+02  1.303E+03      54 A        57 A        44 A   
  17.00 keV   1.107E+02  1.327E+03      56 A        60 A        46 A   
  18.00 keV   1.139E+02  1.350E+03      58 A        62 A        47 A   
  20.00 keV   1.201E+02  1.392E+03      62 A        65 A        51 A   
  22.50 keV   1.274E+02  1.439E+03      68 A        70 A        54 A   
  25.00 keV   1.342E+02  1.481E+03      73 A        75 A        58 A   
  27.50 keV   1.408E+02  1.518E+03      78 A        79 A        61 A   
  30.00 keV   1.471E+02  1.552E+03      83 A        84 A        65 A   
  32.50 keV   1.531E+02  1.583E+03      88 A        88 A        68 A   
  35.00 keV   1.588E+02  1.610E+03      92 A        92 A        72 A   
  37.50 keV   1.644E+02  1.636E+03      97 A        97 A        75 A   
  40.00 keV   1.698E+02  1.659E+03     102 A       101 A        78 A   
  45.00 keV   1.801E+02  1.701E+03     111 A       109 A        84 A   
