 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 02, 2023 
 ==================================================================

 Disk File Name = Target-238-92_Ion-73-26.txt

 Ion = Iron         [26] , Mass = 73 amu

 Density =  1.9043E+01 g/cm3 = 4.8184E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      U     92    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Iron         [26] , Mass = 73 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   7.684E+01  9.931E+02      45 A        48 A        37 A   
  11.00 keV   8.059E+01  1.024E+03      48 A        51 A        39 A   
  12.00 keV   8.418E+01  1.053E+03      50 A        54 A        41 A   
  13.00 keV   8.761E+01  1.079E+03      53 A        56 A        43 A   
  14.00 keV   9.092E+01  1.103E+03      56 A        59 A        45 A   
  15.00 keV   9.411E+01  1.126E+03      58 A        61 A        47 A   
  16.00 keV   9.720E+01  1.147E+03      61 A        64 A        49 A   
  17.00 keV   1.002E+02  1.167E+03      64 A        66 A        51 A   
  18.00 keV   1.031E+02  1.185E+03      66 A        68 A        53 A   
  20.00 keV   1.087E+02  1.219E+03      71 A        73 A        56 A   
  22.50 keV   1.153E+02  1.257E+03      77 A        78 A        61 A   
  25.00 keV   1.215E+02  1.289E+03      84 A        84 A        65 A   
  27.50 keV   1.274E+02  1.319E+03      90 A        89 A        69 A   
  30.00 keV   1.331E+02  1.345E+03      96 A        94 A        73 A   
  32.50 keV   1.385E+02  1.368E+03     101 A        99 A        77 A   
  35.00 keV   1.438E+02  1.389E+03     107 A       104 A        81 A   
  37.50 keV   1.488E+02  1.408E+03     113 A       109 A        85 A   
  40.00 keV   1.537E+02  1.426E+03     119 A       114 A        88 A   
  45.00 keV   1.630E+02  1.457E+03     130 A       123 A        96 A   
