 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 02, 2023 
 ==================================================================

 Disk File Name = Target-238-92_Ion-74-25.txt

 Ion = Manganese    [25] , Mass = 74 amu

 Density =  1.9043E+01 g/cm3 = 4.8184E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      U     92    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Manganese    [25] , Mass = 74 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   7.117E+01  9.813E+02      46 A        49 A        38 A   
  11.00 keV   7.464E+01  1.012E+03      49 A        52 A        40 A   
  12.00 keV   7.796E+01  1.040E+03      52 A        55 A        42 A   
  13.00 keV   8.114E+01  1.065E+03      54 A        57 A        44 A   
  14.00 keV   8.420E+01  1.089E+03      57 A        60 A        46 A   
  15.00 keV   8.716E+01  1.111E+03      60 A        62 A        48 A   
  16.00 keV   9.002E+01  1.131E+03      63 A        65 A        50 A   
  17.00 keV   9.279E+01  1.151E+03      65 A        67 A        52 A   
  18.00 keV   9.548E+01  1.169E+03      68 A        69 A        54 A   
  20.00 keV   1.006E+02  1.202E+03      73 A        74 A        57 A   
  22.50 keV   1.067E+02  1.238E+03      79 A        79 A        62 A   
  25.00 keV   1.125E+02  1.270E+03      86 A        85 A        66 A   
  27.50 keV   1.180E+02  1.298E+03      92 A        90 A        70 A   
  30.00 keV   1.233E+02  1.323E+03      98 A        96 A        74 A   
  32.50 keV   1.283E+02  1.345E+03     104 A       101 A        78 A   
  35.00 keV   1.331E+02  1.366E+03     110 A       106 A        82 A   
  37.50 keV   1.378E+02  1.384E+03     116 A       111 A        86 A   
  40.00 keV   1.423E+02  1.401E+03     122 A       116 A        90 A   
  45.00 keV   1.510E+02  1.431E+03     134 A       125 A        98 A   
