 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 02, 2023 
 ==================================================================

 Disk File Name = Target-238-92_Ion-74-29.txt

 Ion = Copper       [29] , Mass = 74 amu

 Density =  1.9043E+01 g/cm3 = 4.8184E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      U     92    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Copper       [29] , Mass = 74 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   5.345E+01  1.063E+03      43 A        47 A        36 A   
  11.00 keV   5.606E+01  1.097E+03      45 A        49 A        38 A   
  12.00 keV   5.855E+01  1.129E+03      48 A        52 A        40 A   
  13.00 keV   6.094E+01  1.158E+03      51 A        54 A        42 A   
  14.00 keV   6.325E+01  1.185E+03      53 A        57 A        44 A   
  15.00 keV   6.546E+01  1.210E+03      56 A        59 A        46 A   
  16.00 keV   6.761E+01  1.234E+03      58 A        61 A        47 A   
  17.00 keV   6.969E+01  1.256E+03      60 A        63 A        49 A   
  18.00 keV   7.171E+01  1.277E+03      63 A        66 A        51 A   
  20.00 keV   7.559E+01  1.315E+03      68 A        70 A        54 A   
  22.50 keV   8.018E+01  1.357E+03      73 A        75 A        58 A   
  25.00 keV   8.451E+01  1.395E+03      79 A        80 A        62 A   
  27.50 keV   8.864E+01  1.428E+03      85 A        85 A        66 A   
  30.00 keV   9.258E+01  1.458E+03      90 A        90 A        70 A   
  32.50 keV   9.636E+01  1.485E+03      96 A        95 A        74 A   
  35.00 keV   1.000E+02  1.509E+03     101 A        99 A        77 A   
  37.50 keV   1.035E+02  1.532E+03     106 A       104 A        81 A   
  40.00 keV   1.069E+02  1.552E+03     112 A       109 A        85 A   
  45.00 keV   1.134E+02  1.588E+03     122 A       117 A        92 A   
