 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 02, 2023 
 ==================================================================

 Disk File Name = Target-238-92_Ion-75-35.txt

 Ion = Bromine      [35] , Mass = 75 amu

 Density =  1.9043E+01 g/cm3 = 4.8184E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      U     92    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Bromine      [35] , Mass = 75 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   8.035E+01  1.182E+03      39 A        43 A        33 A   
  11.00 keV   8.427E+01  1.222E+03      41 A        45 A        35 A   
  12.00 keV   8.802E+01  1.259E+03      43 A        47 A        36 A   
  13.00 keV   9.161E+01  1.294E+03      46 A        49 A        38 A   
  14.00 keV   9.507E+01  1.326E+03      48 A        51 A        40 A   
  15.00 keV   9.841E+01  1.356E+03      50 A        53 A        41 A   
  16.00 keV   1.016E+02  1.384E+03      52 A        55 A        43 A   
  17.00 keV   1.048E+02  1.411E+03      54 A        57 A        44 A   
  18.00 keV   1.078E+02  1.436E+03      56 A        59 A        46 A   
  20.00 keV   1.136E+02  1.482E+03      61 A        63 A        49 A   
  22.50 keV   1.205E+02  1.533E+03      66 A        67 A        52 A   
  25.00 keV   1.270E+02  1.579E+03      71 A        72 A        56 A   
  27.50 keV   1.332E+02  1.620E+03      75 A        76 A        59 A   
  30.00 keV   1.392E+02  1.657E+03      80 A        80 A        62 A   
  32.50 keV   1.449E+02  1.690E+03      85 A        84 A        65 A   
  35.00 keV   1.503E+02  1.721E+03      89 A        88 A        69 A   
  37.50 keV   1.556E+02  1.749E+03      94 A        92 A        72 A   
  40.00 keV   1.607E+02  1.775E+03      99 A        96 A        75 A   
  45.00 keV   1.705E+02  1.822E+03     108 A       104 A        81 A   
