 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 02, 2023 
 ==================================================================

 Disk File Name = Target-93-41_Ion-60-32.txt

 Ion = Germanium    [32] , Mass = 60 amu

 Density =  8.5700E+00 g/cm3 = 5.5493E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Nb     41    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Germanium    [32] , Mass = 60 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.135E+02  1.303E+03      53 A        40 A        29 A   
  11.00 keV   1.190E+02  1.338E+03      57 A        42 A        31 A   
  12.00 keV   1.243E+02  1.370E+03      60 A        44 A        33 A   
  13.00 keV   1.294E+02  1.400E+03      63 A        47 A        34 A   
  14.00 keV   1.343E+02  1.426E+03      67 A        49 A        36 A   
  15.00 keV   1.390E+02  1.451E+03      70 A        51 A        37 A   
  16.00 keV   1.435E+02  1.474E+03      73 A        53 A        38 A   
  17.00 keV   1.479E+02  1.495E+03      76 A        55 A        40 A   
  18.00 keV   1.522E+02  1.515E+03      79 A        57 A        41 A   
  20.00 keV   1.605E+02  1.551E+03      86 A        61 A        44 A   
  22.50 keV   1.702E+02  1.589E+03      93 A        66 A        47 A   
  25.00 keV   1.794E+02  1.623E+03     101 A        70 A        51 A   
  27.50 keV   1.882E+02  1.651E+03     108 A        75 A        54 A   
  30.00 keV   1.965E+02  1.677E+03     115 A        79 A        57 A   
  32.50 keV   2.046E+02  1.699E+03     123 A        84 A        60 A   
  35.00 keV   2.123E+02  1.718E+03     130 A        88 A        63 A   
  37.50 keV   2.197E+02  1.736E+03     137 A        92 A        66 A   
  40.00 keV   2.269E+02  1.751E+03     144 A        96 A        69 A   
  45.00 keV   2.407E+02  1.777E+03     158 A       104 A        75 A   
