 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 02, 2023 
 ==================================================================

 Disk File Name = Target-93-41_Ion-61-33.txt

 Ion = Arsenic      [33] , Mass = 61 amu

 Density =  8.5700E+00 g/cm3 = 5.5493E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Nb     41    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Arsenic      [33] , Mass = 61 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.322E+02  1.336E+03      52 A        39 A        29 A   
  11.00 keV   1.387E+02  1.373E+03      56 A        41 A        30 A   
  12.00 keV   1.448E+02  1.407E+03      59 A        43 A        32 A   
  13.00 keV   1.508E+02  1.437E+03      62 A        46 A        33 A   
  14.00 keV   1.565E+02  1.465E+03      65 A        48 A        34 A   
  15.00 keV   1.619E+02  1.491E+03      68 A        50 A        36 A   
  16.00 keV   1.673E+02  1.515E+03      72 A        52 A        37 A   
  17.00 keV   1.724E+02  1.537E+03      75 A        54 A        38 A   
  18.00 keV   1.774E+02  1.558E+03      78 A        56 A        40 A   
  20.00 keV   1.870E+02  1.596E+03      84 A        59 A        43 A   
  22.50 keV   1.983E+02  1.636E+03      91 A        64 A        46 A   
  25.00 keV   2.091E+02  1.671E+03      98 A        68 A        49 A   
  27.50 keV   2.193E+02  1.702E+03     105 A        72 A        52 A   
  30.00 keV   2.290E+02  1.728E+03     112 A        77 A        55 A   
  32.50 keV   2.384E+02  1.752E+03     119 A        81 A        58 A   
  35.00 keV   2.474E+02  1.773E+03     126 A        85 A        61 A   
  37.50 keV   2.561E+02  1.791E+03     133 A        89 A        64 A   
  40.00 keV   2.645E+02  1.808E+03     140 A        93 A        67 A   
  45.00 keV   2.805E+02  1.836E+03     154 A       100 A        72 A   
