 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 02, 2023 
 ==================================================================

 Disk File Name = Target-93-41_Ion-63-35.txt

 Ion = Bromine      [35] , Mass = 63 amu

 Density =  8.5700E+00 g/cm3 = 5.5493E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Nb     41    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Bromine      [35] , Mass = 63 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.257E+02  1.403E+03      51 A        38 A        28 A   
  11.00 keV   1.318E+02  1.443E+03      54 A        40 A        29 A   
  12.00 keV   1.377E+02  1.479E+03      57 A        42 A        31 A   
  13.00 keV   1.433E+02  1.512E+03      61 A        44 A        32 A   
  14.00 keV   1.487E+02  1.542E+03      64 A        46 A        33 A   
  15.00 keV   1.539E+02  1.570E+03      67 A        48 A        35 A   
  16.00 keV   1.590E+02  1.596E+03      70 A        50 A        36 A   
  17.00 keV   1.639E+02  1.621E+03      73 A        52 A        37 A   
  18.00 keV   1.686E+02  1.643E+03      76 A        54 A        39 A   
  20.00 keV   1.777E+02  1.684E+03      81 A        57 A        41 A   
  22.50 keV   1.885E+02  1.729E+03      88 A        62 A        44 A   
  25.00 keV   1.987E+02  1.767E+03      95 A        66 A        47 A   
  27.50 keV   2.084E+02  1.801E+03     102 A        70 A        50 A   
  30.00 keV   2.177E+02  1.831E+03     109 A        74 A        53 A   
  32.50 keV   2.266E+02  1.857E+03     116 A        78 A        56 A   
  35.00 keV   2.351E+02  1.881E+03     122 A        82 A        59 A   
  37.50 keV   2.434E+02  1.901E+03     129 A        86 A        62 A   
  40.00 keV   2.514E+02  1.920E+03     135 A        89 A        64 A   
  45.00 keV   2.666E+02  1.952E+03     148 A        97 A        70 A   
