 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 02, 2023 
 ==================================================================

 Disk File Name = Target-93-41_Ion-64-25.txt

 Ion = Manganese    [25] , Mass = 64 amu

 Density =  8.5700E+00 g/cm3 = 5.5493E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Nb     41    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Manganese    [25] , Mass = 64 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.097E+02  1.164E+03      61 A        44 A        31 A   
  11.00 keV   1.151E+02  1.192E+03      65 A        46 A        33 A   
  12.00 keV   1.202E+02  1.218E+03      69 A        49 A        35 A   
  13.00 keV   1.251E+02  1.242E+03      73 A        51 A        37 A   
  14.00 keV   1.298E+02  1.263E+03      77 A        54 A        38 A   
  15.00 keV   1.344E+02  1.283E+03      80 A        56 A        40 A   
  16.00 keV   1.388E+02  1.301E+03      84 A        58 A        42 A   
  17.00 keV   1.430E+02  1.318E+03      88 A        60 A        43 A   
  18.00 keV   1.472E+02  1.333E+03      92 A        63 A        45 A   
  20.00 keV   1.551E+02  1.360E+03      99 A        67 A        48 A   
  22.50 keV   1.645E+02  1.390E+03     108 A        72 A        52 A   
  25.00 keV   1.734E+02  1.414E+03     117 A        77 A        56 A   
  27.50 keV   1.819E+02  1.435E+03     126 A        82 A        59 A   
  30.00 keV   1.900E+02  1.454E+03     134 A        87 A        63 A   
  32.50 keV   1.978E+02  1.469E+03     143 A        92 A        66 A   
  35.00 keV   2.052E+02  1.483E+03     152 A        97 A        70 A   
  37.50 keV   2.124E+02  1.494E+03     160 A       102 A        73 A   
  40.00 keV   2.194E+02  1.504E+03     169 A       107 A        77 A   
  45.00 keV   2.327E+02  1.521E+03     186 A       116 A        83 A   
