 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 04, 2023 
 ==================================================================

 Disk File Name = Target-93-41_Ion-67-27.txt

 Ion = Cobalt       [27] , Mass = 67 amu

 Density =  8.5700E+00 g/cm3 = 5.5493E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Nb     41    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Cobalt       [27] , Mass = 67 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.015E+02  1.245E+03      59 A        42 A        30 A   
  11.00 keV   1.065E+02  1.277E+03      63 A        44 A        32 A   
  12.00 keV   1.112E+02  1.306E+03      66 A        47 A        34 A   
  13.00 keV   1.157E+02  1.333E+03      70 A        49 A        35 A   
  14.00 keV   1.201E+02  1.357E+03      74 A        51 A        37 A   
  15.00 keV   1.243E+02  1.379E+03      77 A        53 A        38 A   
  16.00 keV   1.284E+02  1.399E+03      81 A        56 A        40 A   
  17.00 keV   1.323E+02  1.418E+03      85 A        58 A        41 A   
  18.00 keV   1.362E+02  1.435E+03      88 A        60 A        43 A   
  20.00 keV   1.435E+02  1.467E+03      95 A        64 A        46 A   
  22.50 keV   1.522E+02  1.501E+03     104 A        69 A        50 A   
  25.00 keV   1.605E+02  1.529E+03     112 A        74 A        53 A   
  27.50 keV   1.683E+02  1.554E+03     120 A        78 A        56 A   
  30.00 keV   1.758E+02  1.575E+03     129 A        83 A        60 A   
  32.50 keV   1.830E+02  1.594E+03     137 A        88 A        63 A   
  35.00 keV   1.899E+02  1.610E+03     145 A        92 A        66 A   
  37.50 keV   1.965E+02  1.624E+03     153 A        97 A        69 A   
  40.00 keV   2.030E+02  1.637E+03     161 A       101 A        73 A   
  45.00 keV   2.153E+02  1.657E+03     177 A       110 A        79 A   
