 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 04, 2023 
 ==================================================================

 Disk File Name = Target-93-41_Ion-67-31.txt

 Ion = Gallium      [31] , Mass = 67 amu

 Density =  8.5700E+00 g/cm3 = 5.5493E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Nb     41    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Gallium      [31] , Mass = 67 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.281E+02  1.349E+03      54 A        39 A        28 A   
  11.00 keV   1.344E+02  1.385E+03      58 A        41 A        30 A   
  12.00 keV   1.404E+02  1.419E+03      61 A        43 A        31 A   
  13.00 keV   1.461E+02  1.449E+03      65 A        46 A        33 A   
  14.00 keV   1.516E+02  1.477E+03      68 A        48 A        34 A   
  15.00 keV   1.569E+02  1.503E+03      71 A        49 A        36 A   
  16.00 keV   1.621E+02  1.527E+03      74 A        51 A        37 A   
  17.00 keV   1.671E+02  1.549E+03      78 A        53 A        38 A   
  18.00 keV   1.719E+02  1.569E+03      81 A        55 A        40 A   
  20.00 keV   1.812E+02  1.607E+03      87 A        59 A        42 A   
  22.50 keV   1.922E+02  1.647E+03      95 A        63 A        46 A   
  25.00 keV   2.026E+02  1.681E+03     102 A        68 A        49 A   
  27.50 keV   2.125E+02  1.711E+03     110 A        72 A        52 A   
  30.00 keV   2.219E+02  1.738E+03     117 A        76 A        55 A   
  32.50 keV   2.310E+02  1.761E+03     124 A        80 A        58 A   
  35.00 keV   2.397E+02  1.781E+03     131 A        84 A        61 A   
  37.50 keV   2.481E+02  1.800E+03     138 A        88 A        64 A   
  40.00 keV   2.563E+02  1.816E+03     146 A        92 A        66 A   
  45.00 keV   2.718E+02  1.843E+03     160 A       100 A        72 A   
