 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 02, 2023 
 ==================================================================

 Disk File Name = Target-93-41_Ion-67-34.txt

 Ion = Selenium     [34] , Mass = 67 amu

 Density =  8.5700E+00 g/cm3 = 5.5493E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Nb     41    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Selenium     [34] , Mass = 67 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.245E+02  1.421E+03      52 A        38 A        27 A   
  11.00 keV   1.305E+02  1.461E+03      55 A        40 A        29 A   
  12.00 keV   1.363E+02  1.497E+03      59 A        42 A        30 A   
  13.00 keV   1.419E+02  1.531E+03      62 A        44 A        32 A   
  14.00 keV   1.473E+02  1.561E+03      65 A        46 A        33 A   
  15.00 keV   1.524E+02  1.590E+03      68 A        48 A        34 A   
  16.00 keV   1.574E+02  1.616E+03      71 A        50 A        36 A   
  17.00 keV   1.623E+02  1.641E+03      74 A        51 A        37 A   
  18.00 keV   1.670E+02  1.663E+03      77 A        53 A        38 A   
  20.00 keV   1.760E+02  1.705E+03      83 A        57 A        41 A   
  22.50 keV   1.867E+02  1.750E+03      90 A        61 A        44 A   
  25.00 keV   1.968E+02  1.789E+03      97 A        65 A        47 A   
  27.50 keV   2.064E+02  1.823E+03     104 A        69 A        50 A   
  30.00 keV   2.156E+02  1.853E+03     111 A        73 A        53 A   
  32.50 keV   2.244E+02  1.879E+03     118 A        77 A        55 A   
  35.00 keV   2.328E+02  1.903E+03     124 A        81 A        58 A   
  37.50 keV   2.410E+02  1.924E+03     131 A        85 A        61 A   
  40.00 keV   2.489E+02  1.943E+03     138 A        88 A        64 A   
  45.00 keV   2.640E+02  1.975E+03     151 A        96 A        69 A   
