 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 02, 2023 
 ==================================================================

 Disk File Name = Target-93-41_Ion-68-29.txt

 Ion = Copper       [29] , Mass = 68 amu

 Density =  8.5700E+00 g/cm3 = 5.5493E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Nb     41    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Copper       [29] , Mass = 68 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   7.993E+01  1.307E+03      57 A        41 A        29 A   
  11.00 keV   8.383E+01  1.342E+03      61 A        43 A        31 A   
  12.00 keV   8.756E+01  1.373E+03      64 A        46 A        33 A   
  13.00 keV   9.114E+01  1.402E+03      68 A        48 A        34 A   
  14.00 keV   9.458E+01  1.428E+03      72 A        50 A        36 A   
  15.00 keV   9.790E+01  1.452E+03      75 A        52 A        37 A   
  16.00 keV   1.011E+02  1.475E+03      79 A        54 A        39 A   
  17.00 keV   1.042E+02  1.496E+03      82 A        56 A        40 A   
  18.00 keV   1.072E+02  1.515E+03      85 A        58 A        42 A   
  20.00 keV   1.130E+02  1.549E+03      92 A        62 A        45 A   
  22.50 keV   1.199E+02  1.587E+03     100 A        67 A        48 A   
  25.00 keV   1.264E+02  1.619E+03     108 A        72 A        52 A   
  27.50 keV   1.326E+02  1.646E+03     116 A        76 A        55 A   
  30.00 keV   1.384E+02  1.671E+03     124 A        81 A        58 A   
  32.50 keV   1.441E+02  1.692E+03     132 A        86 A        61 A   
  35.00 keV   1.495E+02  1.710E+03     140 A        90 A        65 A   
  37.50 keV   1.548E+02  1.727E+03     148 A        94 A        68 A   
  40.00 keV   1.599E+02  1.741E+03     155 A        99 A        71 A   
  45.00 keV   1.696E+02  1.766E+03     171 A       107 A        77 A   
