 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 02, 2023 
 ==================================================================

 Disk File Name = Target-93-41_Ion-69-30.txt

 Ion = Zinc         [30] , Mass = 69 amu

 Density =  8.5700E+00 g/cm3 = 5.5493E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Nb     41    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Zinc         [30] , Mass = 69 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.273E+02  1.342E+03      55 A        39 A        28 A   
  11.00 keV   1.335E+02  1.378E+03      59 A        41 A        30 A   
  12.00 keV   1.394E+02  1.411E+03      62 A        44 A        31 A   
  13.00 keV   1.451E+02  1.441E+03      66 A        46 A        33 A   
  14.00 keV   1.506E+02  1.468E+03      69 A        48 A        34 A   
  15.00 keV   1.559E+02  1.494E+03      73 A        50 A        36 A   
  16.00 keV   1.610E+02  1.517E+03      76 A        52 A        37 A   
  17.00 keV   1.659E+02  1.539E+03      79 A        54 A        39 A   
  18.00 keV   1.707E+02  1.559E+03      82 A        55 A        40 A   
  20.00 keV   1.800E+02  1.595E+03      89 A        59 A        43 A   
  22.50 keV   1.909E+02  1.635E+03      97 A        64 A        46 A   
  25.00 keV   2.012E+02  1.669E+03     104 A        68 A        49 A   
  27.50 keV   2.110E+02  1.698E+03     112 A        72 A        52 A   
  30.00 keV   2.204E+02  1.724E+03     119 A        76 A        55 A   
  32.50 keV   2.294E+02  1.746E+03     127 A        81 A        58 A   
  35.00 keV   2.381E+02  1.766E+03     134 A        85 A        61 A   
  37.50 keV   2.464E+02  1.784E+03     141 A        89 A        64 A   
  40.00 keV   2.545E+02  1.799E+03     149 A        93 A        67 A   
  45.00 keV   2.700E+02  1.826E+03     163 A       100 A        72 A   
