 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 04, 2023 
 ==================================================================

 Disk File Name = Target-93-41_Ion-71-28.txt

 Ion = Nickel       [28] , Mass = 71 amu

 Density =  8.5700E+00 g/cm3 = 5.5493E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Nb     41    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Nickel       [28] , Mass = 71 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   6.731E+01  1.306E+03      59 A        41 A        30 A   
  11.00 keV   7.059E+01  1.340E+03      62 A        44 A        31 A   
  12.00 keV   7.373E+01  1.372E+03      66 A        46 A        33 A   
  13.00 keV   7.674E+01  1.400E+03      70 A        48 A        35 A   
  14.00 keV   7.964E+01  1.426E+03      73 A        50 A        36 A   
  15.00 keV   8.244E+01  1.450E+03      77 A        53 A        38 A   
  16.00 keV   8.514E+01  1.472E+03      81 A        55 A        39 A   
  17.00 keV   8.776E+01  1.493E+03      84 A        57 A        41 A   
  18.00 keV   9.030E+01  1.512E+03      88 A        59 A        42 A   
  20.00 keV   9.519E+01  1.546E+03      95 A        63 A        45 A   
  22.50 keV   1.010E+02  1.583E+03     103 A        68 A        49 A   
  25.00 keV   1.064E+02  1.614E+03     111 A        73 A        52 A   
  27.50 keV   1.116E+02  1.641E+03     120 A        77 A        55 A   
  30.00 keV   1.166E+02  1.665E+03     128 A        82 A        59 A   
  32.50 keV   1.213E+02  1.686E+03     136 A        86 A        62 A   
  35.00 keV   1.259E+02  1.704E+03     144 A        91 A        65 A   
  37.50 keV   1.303E+02  1.720E+03     152 A        95 A        68 A   
  40.00 keV   1.346E+02  1.734E+03     160 A       100 A        71 A   
  45.00 keV   1.428E+02  1.758E+03     176 A       108 A        77 A   
