 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 04, 2023 
 ==================================================================

 Disk File Name = Target-93-41_Ion-73-26.txt

 Ion = Iron         [26] , Mass = 73 amu

 Density =  8.5700E+00 g/cm3 = 5.5493E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Nb     41    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/mm       
 See bottom of Table for other Stopping units 

 Ion = Iron         [26] , Mass = 73 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.102E+02  1.266E+03      60 A        41 A        30 A   
  11.00 keV   1.155E+02  1.299E+03      64 A        43 A        31 A   
  12.00 keV   1.207E+02  1.328E+03      68 A        46 A        33 A   
  13.00 keV   1.256E+02  1.355E+03      72 A        48 A        35 A   
  14.00 keV   1.303E+02  1.379E+03      75 A        50 A        36 A   
  15.00 keV   1.349E+02  1.402E+03      79 A        52 A        38 A   
  16.00 keV   1.393E+02  1.422E+03      83 A        54 A        39 A   
  17.00 keV   1.436E+02  1.442E+03      86 A        56 A        41 A   
  18.00 keV   1.478E+02  1.459E+03      90 A        58 A        42 A   
  20.00 keV   1.558E+02  1.491E+03      97 A        62 A        45 A   
  22.50 keV   1.652E+02  1.525E+03     106 A        67 A        48 A   
  25.00 keV   1.742E+02  1.554E+03     114 A        72 A        52 A   
  27.50 keV   1.827E+02  1.579E+03     123 A        77 A        55 A   
  30.00 keV   1.908E+02  1.601E+03     131 A        81 A        58 A   
  32.50 keV   1.986E+02  1.620E+03     139 A        86 A        62 A   
  35.00 keV   2.061E+02  1.636E+03     147 A        90 A        65 A   
  37.50 keV   2.133E+02  1.650E+03     156 A        94 A        68 A   
  40.00 keV   2.203E+02  1.663E+03     164 A        99 A        71 A   
  45.00 keV   2.337E+02  1.684E+03     180 A       107 A        77 A   
